phrase,times,notes
"звонок в 18:00",18:00,russian HH:MM
"давай в 8 утра",08:00,russian morning
"в 8 вечера",20:00,russian evening
"в 00:05",00:05,russian after midnight
"встретимся в полночь",00:00,russian midnight
"позвоню в полдень",12:00,russian noon
"в 14 часов",14:00,russian phrasing
"приходи в 9:30",09:30,russian HH:MM
"созвон в 16:00 по МСК",16:00,with timezone russian
"перенеси на 7 утра",07:00,russian morning
"встреча 22",22:00,bare hour russian
"буду в 6 вечера",18:00,russian evening
"встречаемся в три дня",15:00,russian phrase assume PM
"звонок в 03:15",03:15,russian early morning
"в 11:45 утра",11:45,russian morning
"наберу тебя в 19:05",19:05,russian
"по телефону в 10 утра",10:00,russian morning
"в 2 часа ночи",02:00,russian night
"договоримся на 21:00",21:00,russian HH:MM
"Let's meet at 8am tomorrow",08:00,english am
"Call me at 2:30 PM",14:30,english pm
"See you at noon",12:00,english noon
"I'll be free at midnight",00:00,english midnight
"Let's do 11:15",11:15,english HH:MM
"Meet at 7pm",19:00,english bare pm
"3:45 AM workout",03:45,english early
"Conference call 16:00",16:00,english HH:MM
"Lunch at 12:00 CET",12:00,with timezone
"Dinner 19:00 PST",19:00,with timezone tag
"Let's chat at 5:30pm EST",17:30,with timezone
"From 09:00 to 11:00",09:00;11:00,range english
"We'll meet 10 to 12",10:00;12:00,range ambiguous -> treat as hours
"between 14 and 16",14:00;16:00,range english
"с 7 до 9 утра",07:00;09:00,range russian morning
"с 18 до 20",18:00;20:00,range russian evening
"начинаем в 08:00",08:00,russian HH:MM
"в 12 дня",12:00,russian noon
"в 12 ночи",00:00,russian midnight phrasing
"в 4 утра",04:00,russian early
"завтра в 15:45",15:45,date+time russian
"tomorrow at 10:00",10:00,date+time english
"in the afternoon at 3pm",15:00,english afternoon
"this evening at 8",20:00,english evening bare
"early morning at 6",06:00,english morning
"quarter past five",17:15,phrase english
"quarter to nine",08:45,phrase english
"half past seven",19:30,phrase english
"See you at quarter past three",15:15,phrase variant english
"увидимся в половине восьмого",19:30,russian phrase 'half past'
"увидимся в четверть пятого",16:15,russian phrase 'quarter past'
"в четверть до девяти",08:45,russian phrase 'quarter to'
"встретимся к 15:00",15:00,russian with preposition
"звонок в 13:45 GMT",13:45,with timezone russian
"call at 11am GMT+1",11:00,with timezone offset
"meeting 14:00 UK",14:00,with timezone label
"webinar at 09:00 UTC",09:00,with timezone UTC
"Standup 09:30",09:30,short english
"Standup 09:30 CET",09:30,short + tz
"call 17:00 CET",17:00,short + tz
"Let's start at 6",18:00,english bare assume PM
"I'll join at 6am",06:00,english AM specified
"I'll join at 6pm",18:00,english PM specified
"в 00:30 буду дома",00:30,russian after midnight
"встреча в 12:00 UTC+3",12:00,with timezone offset russian
"встреча 15:00 по локальному времени",15:00,russian local
"назначено на 9:00 утра",09:00,russian morning
"созвон в 14:20",14:20,russian HH:MM
"с 13:15 до 14:00",13:15;14:00,range russian
"meeting 8:00-9:00",08:00;09:00,range english hyphen
"call 11:30-12:30 PST",11:30;12:30,range + tz
"I can do 2pm or 4pm",14:00;16:00,multiple options english
"могу в 10 или в 12",10:00;12:00,multiple options russian
"Let's book 14:00 slot",14:00,slot booking
"Reserve at 18:10",18:10,HH:MM english
"Встреча в 18:10",18:10,HH:MM russian
"напомни в 09:00",09:00,russian reminder
"remind me at 07:00",07:00,english reminder
"alarm 06:00",06:00,alarm time
"set alarm for 6am",06:00,alarm english
"в 6 утра установлю будильник",06:00,alarm russian
"I'll call at lunchtime (12:30)",12:30,parenthetical time
"Meeting at (14:00)",14:00,parentheses
"We meet at 5ish",17:00,approximate assume PM
"буду примерно в 17",17:00,approximate russian
"в районе 9 утра",09:00,approximate russian morning
"around 3pm",15:00,approximate english
"sometime after 15:00",,negative - relative start (ambiguous)
"between 10 and 11:30",10:00;11:30,range mixed
"between 10:00 and 11:30",10:00;11:30,range explicit
"Let's meet 12:15 CET and 14:15 GMT",12:15;14:15,multiple tz
"call 17:00 local",17:00,local tz
"в 21:00 по МСК и 19:00 по Лондону",21:00;19:00,multiple tz russian
"we'll sync at 08:00 and 20:00",08:00;20:00,multiple times english
"I have 2 cats",,negative - quantity
"$20.00 for the book",,negative - price
"€9.99",,negative - price
"v5 release",,negative - version
"version 1.2.3",,negative - version
"192.0.2.1",,negative - IP
"room 404",,negative - room
"invoice #202",,negative - invoice
"score 10-1",,negative - sports score
"won 2-1",,negative - sports score
"page 120",,negative - page
"order 555",,negative - order id
"budget 1500",,negative - amount
"contact v2",,negative - version
"release 2022.04",,negative - release tag
"report Q3 results",,negative - quarter
"3rd place",,negative - ordinal
"10 apples",,negative - quantity
"call 0800 service",,negative - service number
"deadline 2024-12-31",,negative - date
"I owe you £20",,negative - price
"₽1.000,00",,negative - price locale
"phone 123-456-7890",,negative - phone
"ext. 202",,negative - extension
"version10",,negative - version no space
"build 10.0.1",,negative - build
"update v0.9-beta",,negative - pre-release
"meeting Feb 14th",,negative - date mention
"see section 3.2",,negative - document section
"room 12B",,negative - room
"order#1001",,negative - order
"price is 14.99USD",,negative - price
"I need 12 copies",,negative - quantity
"chapter 5",,negative - chapter
"մենք կհանդիպենք ժամը 16:00",16:00,armenian HH:MM
"ժամը 9",09:00,armenian bare hour
"ժամը երեքին",15:00,armenian colloquial assume PM
"պետք է զանգահարեմ ժամը 08:30",08:30,armenian morning
"ժամը 23:15",23:15,armenian night
"կհանդիպենք կեսօրին",12:00,armenian noon
"նե՞ղենք ժամը 7",19:00,armenian bare pm
"զանգել վաղ առավոտը 06:00",06:00,armenian early morning
"ցտեսություն ժամը 21:00",21:00,armenian evening
"Let's meet at 15:00 (UTC)",15:00,parenthetical tz
"2026-01-22T15:00",15:00,ISO datetime
"2026-01-22T15:00+03:00",15:00,ISO datetime with offset
"15:00Z",15:00,UTC Z
"At 14:30:00 we'll start",14:30,with seconds
"Meeting at 3pm (15:00)",15:00,parenthetical time
"звонок в 3pm по МСК",15:00,mixed RU+EN+tz
"I'll call around noonish",12:00,approximate english
"about midnight",00:00,approximate english
"14h30 meeting",14:30,European h format
"Let's schedule 03:00 AM PST",03:00,AM with tz
"call at 11 am IST",11:00,with tz (IST)
"meeting 21:00 CET",21:00,with tz
"arrive 07:00+02:00",07:00,with numeric offset
"From 2026-01-22 09:00 to 11:00",09:00;11:00,range with datetime
"We'll meet 2026-01-22 18:30",18:30,datetime with date
"встретимся в 6:30 вечера",18:30,russian with am/pm phrasing
"זמין ב-10:00",10:00,hebrew HH:MM
"ניפגש ב-15:00",15:00,hebrew HH:MM
"אשוחח ב-9 בבוקר",09:00,hebrew morning
"אתקשר ב-22:15",22:15,hebrew evening
"בצהריים נדבר",12:00,hebrew noon
"בלילה בשעה 03:45",03:45,hebrew night
"Let's meet at 5pm ישראלי זמן",17:00,mixed English+Hebrew tz note
"I'll be there at 20:00 (IST)",20:00,parenthetical tz english
"טיסתנו 06:50",06:50,hebrew HH:MM
"ժամը 12:00 ըստ տեղական ժամանակի",12:00,armenian local tz
"זמן הפגישה 09:15 UTC",09:15,hebrew with UTC
"We have a call at 08:00 and another at 18:00",08:00;18:00,multiple times english
"у нас созвон в 09:00 и в 21:00",09:00;21:00,multiple times russian
"Let's meet 07:00 or 19:00",07:00;19:00,multiple options english
"можно в 11 или в 13",11:00;13:00,multiple options russian
"around quarter past four",16:15,phrase english
"в районе четверти третьего",15:15,phrase russian
"I'll do 6pm-8pm (EST)",18:00;20:00,range + tz
"call 09:00-11:00 local",09:00;11:00,range local
"meeting 10 o'clock sharp",10:00,sharp phrasing
"в 10 часов ровно",10:00,sharp russian
"we'll sync at 00:00 UTC",00:00,midnight UTC
"I'll be free after 17:00",17:00+,relative after (ambiguous) ,
"let's aim for 12:00-13:30",12:00;13:30,range mixed
"call at 7AM (London)",07:00,AM + city tz
"arrive by 23:59:59",23:59,seconds truncated
"встреча 12:00 по МСК и 10:00 по Лондону",12:00;10:00,multiple tz russian
"Meeting at 09:00 (GMT+1)",09:00,with tz offset label
"הפגישה ב-13:30 לפי שעון ישראל",13:30,hebrew with tz note
"I'll call at nine thirty",09:30,textual english
"позвоню в девять тридцать",09:30,textual russian
"Let's do 4 o'clock pm",16:00,textual with pm
"I'll be on at 04:00 AM",04:00,AM explicitly
"I'll join 4pm CET and 6pm GMT",16:00;18:00,multiple tz english
"смена начнётся в 22:00",22:00,russian shift
"միջոցառումը ժամը 19:30-ին է",19:30,armenian HH:MM
"զանգը երեկոյան ժամը 8-ին",20:00,armenian evening
"We'll talk at 2 this afternoon",14:00,english afternoon textual
"договоримся на полдень",12:00,russian noon textual
"call at noon CET",12:00,english noon + tz
"ночью в 01:00",01:00,russian night
"Let's plan 17:45 UTC-3",17:45,with negative offset
"meet at 12:00 PST and 20:00 CET",12:00;20:00,multiple tz mix
"I'll be available 08:00-10:30",08:00;10:30,range with minutes
"Let's set for 14:00 (office time)",14:00,parenthetical office
"I'll call at fifteen hundred hours",15:00,military time textual
"звонок в пятнадцать часов",15:00,military time russian
"I need 2 copies",,negative - quantity
"price 45.00USD",,negative - price
"Версия v6",,negative - version russian
"сервер 10.0.0.12",,negative - IP
"страница 45",,negative - page russian
"номер заказа 999",,negative - order russian
"see you at 3pm sharp",15:00,sharp
"I'll call at five",05:00,ambiguous textual -> assume 05:00 unless PM noted (edge)
"call me at five pm",17:00,explicit pm
"a las 3pm",15:00,spanish informal
"nos vemos a las 09:00",09:00,spanish HH:MM
"reunión a las 14:30",14:30,spanish HH:MM
"rendez-vous à 15h",15:00,french 'h' format
"à 9 heures",09:00,french textual
"treffen um 9 Uhr",09:00,german textual
"um 21:00 Uhr",21:00,german HH:MM
"الساعة 3 مساءً",15:00,arabic PM
"سأتصل الساعة 08:00",08:00,arabic HH:MM
"午後3時",15:00,japanese 'pm' (edge: non-latin)
"下午3点",15:00,chinese afternoon (edge: non-latin)
"Let's meet at 17:00 tomorrow",17:00,date+time english
"tomorrow 6pm",18:00,date+time english
"завтра в 6 вечера",18:00,date+time russian
"послезавтра в 09:00",09:00,date+time russian
"on Monday at 09:00",09:00,date+time english
"понедельник в 9:00",09:00,date+time russian
"meeting 2026/01/22 15:00",15:00,ISO-like slashes (edge date+time)
"03/04/2026 5pm",17:00,ambiguous date format (edge: MM/DD vs DD/MM)
"at 0700 hours",07:00,military format textual
"at 1900 hours",19:00,military format textual
"I'll be there at 1500",15:00,military numeric
"звонок в 1500 часов",15:00,military russian
"meet at fifteen hundred",15:00,military english textual
"5pm-ish",17:00,approximate suffix
"around 07:30",07:30,approximate english
"примерно в 7:30",07:30,approximate russian
"I'll call at 08:00+02:00",08:00,with offset (edge if converting to UTC)
"call at 23:00 PST (next day)",23:00,with tz and next-day note (edge)
"14:00 local time",14:00,local tz note
"09:00 local",09:00,local shorthand
"meeting at 8am/10am window",08:00;10:00,window (edge: range type)
"доступен с 9 до 11 утра",09:00;11:00,range russian morning
"available 15:00-17:00 GMT+1",15:00;17:00,range + tz
"call 5pm GMT and 7pm CET",17:00;19:00,multiple tz (edge: same instante?)
"I'll call at 6 and 8",06:00;08:00,multiple options english
"позвоню в 6 и в 20",06:00;20:00,multiple options russian (edge: ambiguous 6)
"meet at 12:00pm",12:00,explicit pm
"meet at 12:00am",00:00,explicit am
"noon-ish",12:00,approximate (edge phrasing)
"midnight-ish",00:00,approximate (edge phrasing)
"в полшестого",05:30,russian idiomatic 'half to six' (edge: language-specific)
"в половине шестого",05:30,russian 'half past' variant
"quarter past three in the afternoon",15:15,phrase english
"четверть четвертого дня",15:15,russian phrase (edge)
"We'll meet at 09:00 UTC and 11:00 CET",09:00;11:00,multiple tz labels
"I'll call at 09:00 (GMT+2) / 07:00 (UTC)",09:00;07:00,multiple tz conversion in text (edge)
"Let's schedule for 12:00 (office) and 20:00 (home)",12:00;20:00,contextual times
"call me at lunchtime (13:00-14:00)",13:00;14:00,range inside parentheses
"set meeting 09:15am-10:00am",09:15;10:00,range am
"в 9:15-10:00",09:15;10:00,range russian
"I'll be free after noon",12:00+,relative after (edge)
"I'll be free before 18:00",18:00-,relative before (edge)
"around midnight GMT+3",00:00,approximate + tz (edge)
"See you on 2026-01-23 at 10:00",10:00,date+time explicit
"call at 10:00am EST (18:00 CET)",10:00;18:00,multiple tz in parentheses
"встреча 09:00 (UTC) / 12:00 (MSK)",09:00;12:00,multiple tz russian
"Let's meet at five in the afternoon",17:00,textual english
"в пять часов вечера",17:00,textual russian
"I'll call at 17:00+0300",17:00,with numeric tz offset
"conference 2026-01-22T09:00Z",09:00,ISO Z
"flight 06:00 local time",06:00,flight local note
"arrive by 07:00am tomorrow",07:00,date+time english
"приехать к 07:00 завтра",07:00,date+time russian
"meeting at 08:45 CET and 14:45 JST",08:45;14:45,multiple tz different
"I'll attend at 1000 BST",10:00,short tz label BST
"звонок в 18:30 EST",18:30,with tz (note: ambiguous whether converted)
"9am-11am",09:00;11:00,range simple
"с 9 до 11",09:00;11:00,range simple russian
"call at 7 (GMT) and 9 (CET)",07:00;09:00,multiple tz ambiguous local anchors (edge)
"Let's do 13:00-15:30 (break 14:00-14:15)",13:00;15:30,complex schedule with break (edge)
"I am free 9:00-12:00; 14:00-16:00",09:00;12:00;14:00;16:00,multiple ranges (edge)
"I'll ping at 08:00, then at 12:00",08:00;12:00,sequential times
"напомни в 07:45 и в 19:00",07:45;19:00,russian sequential
"we'll have a call at 16:00 BST (15:00 UTC)",16:00;15:00,multiple tz mention
"call at 03:00 (tomorrow) - local",03:00,date+relative note
"I'll call at 2400",00:00,24:00 normalized to 00:00 (edge)
"See you at 12:00 CET (11:00 UTC)",12:00;11:00,multiple tz
"I'll join at 13:00+02:00 and 11:00Z",13:00;11:00,multiple formats
"I have an appointment at 9:30am (GMT+1) and 5:30pm (JST)",09:30;17:30,multiple tz complex
"в 9:30 утра по МСК и 11:30 по Лондону",09:30;11:30,multiple tz russian
"I'll call at 15:00 (if not, then 17:00)",15:00;17:00,fallback option (edge)
"meeting at 10am - tentative",10:00,tentative (edge)
"будет звонок в 14:00 - предварительно",14:00,tentative russian
"I can do 10:00 CET or 11:00 BST",10:00;11:00,multiple tz options
"I'll be late, maybe 18:30-19:00",18:30;19:00,approx range
"call 07:00 (GMT+2) / 06:00 (UTC)",07:00;06:00,multiple tz numeric
"I'll call at 05:00 AM (your timezone)",05:00,parenthetical local
"встретимся в 17:00 (локальное время)",17:00,parenthetical local russian
"Цена 15.00EUR",,negative - price
"версия 3.0.1",,negative - version
"сервер 172.16.0.1",,negative - IP
"страница 78",,negative - page
"кол-во 5",,negative - quantity russian
"Счёт 12:15",,negative - sports score / result (looks like HH:MM but context = score) (edge)
"Score 12:15",,negative - sports score (edge)
"Матч 3:2",,negative - sports score (already similar but keep) (edge)
"Set 6:4",,negative - tennis set score (edge)
"Final 12:15",,negative - match result, not time (edge)
"Result 2:1",,negative - score
"John 3:16",,negative - bible verse (chapter:verse)
"Genesis 1:1",,negative - bible verse
"Псалтирь 23:1",,negative - bible verse russian
"Ch. 12:15",,negative - chapter:verse reference (edge)
"Chapter 4:2",,negative - chapter:verse
"Verse 1:5",,negative - verse
"Ratio 16:9",,negative - aspect ratio (looks like time)
"Aspect 4:3",,negative - aspect ratio
"Mix 2:1",,negative - ratio (cooking/scale)
"Odds 5:2",,negative - betting odds
"Track 03:15",,negative - music duration mm:ss not clock time (edge)
"Duration 12:15",,negative - duration (mm:ss) (edge)
"Length 00:45",,negative - duration in minutes:seconds (edge)
"Lap 1 - 3:45",,negative - lap time (edge)
"Split 1:23",,negative - split/duration (edge)
"Timecode 01:23:45:12",,negative - media timecode not clock time (edge)
"Log 12:15:30,456",,negative - timestamp with ms (edge)
"Timestamp 2026-01-22 12:15:30",,negative - full timestamp (edge)
"S02E03 12:15",,negative - episode+time context (edge)
"Episode 03 - 12:15",,negative - media position
"Chapter 12:15",,negative - chapter:verse/section
"§ 3:1",,negative - legal section reference
"Section 5:2",,negative - doc section
"Ratio 3:2",,negative - non-time ratio
"Aspect-ratio 21:9",,negative - wide-screen ratio
"Resolution 1920:1080",,negative - resolution (uses colon) (edge)
"Dimension 16:9",,negative - screen dimension ratio
"Frame 24:00",,negative - frames/duration (edge)
"Runtime 120:00",,negative - runtime in mm:ss or mm:sec (edge)
"Duration 00:03:15",,negative - duration with hours (edge)
"Scoreboard shows 12:15",,negative - score-like context
"Match ended 12:15",,negative - result not clock time
"Final score 25:23",,negative - volleyball score
"Set scores 25:23; 21:25",,negative - list of scores (edge)
"Bible John 3:16",,negative - verse explicit
"Psalm 23:1",,negative - verse
"Reference 4:5",,negative - reference not time
"Ratio 1:100",,negative - dilution ratio
"Mix 1:3",,negative - recipe ratio
"IPv6 fe80::1",,negative - IPv6 contains colons (edge non-time)
"MAC 01:23:45:67:89:ab",,negative - MAC address (colons)
"Timecode 00:00:12,345",,negative - media timecode with ms (edge)
"Duration 90:00",,negative - minutes:seconds or minutes only (edge)
"Score 2:0 (12:15) ",,negative - composite score/timestamp (edge)
"Page 12:15",,negative - page:paragraph (contextual) (edge)
"Invoice 12:15",,negative - invoice id with colon (edge)
"Order 12:15-AB",,negative - order code uses colon-like pattern (edge)
"Room 12:15",,negative - room identifier (edge)
"ID 12:15",,negative - identifier not time
"Callsign 12:15Z",,negative - code with trailing Z (edge)
"Let's meet at 3pm",15:00,
"встреча в 15:00",15:00,russian HH:MM
"Meet at noon",12:00,
"полдень",12:00,russian noon
"I'll call at 06:30",06:30,
"звонок в 6:30 утра",06:30,russian morning
"See you at midnight",00:00,
"в полночь",00:00,russian midnight
"Call me at 9 PST",09:00,with tz
"в 21:00 по МСК",21:00,with tz russian
"From 09:00 to 17:00",09:00;17:00,range english
"с 8 до 12",08:00;12:00,range russian
"3pm EST",15:00,with tz
"14:00 GMT+1",14:00,with offset
"Let's do 7am (your time)",07:00,parenthetical local
"I'll be there at 19",19:00,bare hour
"в 7 вечера",19:00,russian evening
"half past eight",20:30,phrase english (edge: ambiguous translation)
"половина девятого",20:30,russian half past (assume pm)
"quarter to five",16:45,phrase english
"четверть до пяти",16:45,phrase russian
"Meet at 08:00 CET",08:00,with tz
"в 08:00 по МСК",08:00,with tz russian
"At 12:00Z",12:00,UTC
"I'll call at 00:00 UTC+2",00:00,UTC offset
"See you at 24:00",00:00,24:00 normalized
"цена 12:15",,negative - price-like with colon (edge)
"Счёт 3:2",,negative - score (edge)
"john 3:16",,negative - verse (edge)
"Aspect 16:9",,negative - ratio (edge)
"Duration 03:15",,negative - duration not clock time (edge)
"Match ended 2:1",,negative - score
"Order 12:15-A",,negative - identifier (edge)
"room 12:15",,negative - room identifier (edge)
"IPv6 fe80::1",,negative - IP (edge)
"MAC 01:23:45:67:89:ab",,negative - MAC (edge)
"2026-01-22T13:45:00Z",13:45,ISO Z
"2026-01-22 13:45+03:00",13:45,ISO with offset
"conference 3pm CET",15:00,with tz textual
"встреча завтра в 10",10:00,date+time russian
"tomorrow at ten",10:00,date+time english textual
"I'll join at 17:15",17:15,
"вечером в 18:45",18:45,russian evening
"Let's meet 6-ish",18:00,approximate assume pm (edge)
"I'll join at 06:00",06:00,explicit AM
"I'll join at 6",06:00,ambiguous prefer AM (edge)
"call me at 18:00 or 20:00",18:00;20:00,multiple options
"могу в 9 или в 11",09:00;11:00,multiple options russian
"Set meeting 09:00-11:00",09:00;11:00,range
"встреча 13:30-14:30",13:30;14:30,range russian
"I'll be there at fifteen hundred",15:00,military textual
"в 1500",15:00,military numeric russian
"meeting 12pm",12:00,explicit pm
"meeting 12am",00:00,explicit am
"noon",12:00,
"полдень завтра",12:00,date+noon russian
"See you at 11:59 PM",23:59,
"в 23:59",23:59,russian
"Let's meet at 9:00 (London)",09:00,city tz
"Call 09:00 London / 11:00 Moscow",09:00;11:00,multiple tz
"I'll call at 14:00 local time",14:00,local tz
"встреча в 14:00 по вашему времени",14:00,local tz russian
"I'll be free after 17:00",17:00+,relative after (edge)
"I'll be free before 10:00",10:00-,relative before (edge)
"Let's aim for 13:00-14:30",13:00;14:30,range mixed
"call at 07:30 AM (GMT+2)",07:30,with offset
"в 07:30 по МСК",07:30,with tz russian
"I'll call at 00:30 (tomorrow)",00:30,date+relative
"I have 3 cats",,negative - quantity
"price $12:15",,negative - price with colon (edge)
"The ratio is 1:3",,negative - ratio
"Resolution 3840:2160",,negative - resolution (edge)
"Frame 24:00",,negative - frames/timecode
"Timestamp 2026-01-22 12:15:30",,negative - full timestamp
"Duration 120:00",,negative - mm:ss like duration
"S02E03 12:15",,negative - episode/time (edge)
"Chapter 3:16",,negative - chapter:verse
"We'll meet in the afternoon",15:00,approximate mapping
"в обед",12:00,russian noon informal
"I'll call around 07:00",07:00,approx
"позвоню около 7",07:00,approx russian
"I'll attend at 09:00 CET and 17:00 JST",09:00;17:00,multiple tz
"в 09:00 по МСК и 17:00 по Токио",09:00;17:00,multiple tz russian
"I can do 18:00 or 20:00",18:00;20:00,multiple options
"буду доступен 08:00-10:00 и 15:00-16:00",08:00;10:00;15:00;16:00,multiple ranges
"Meet at 8am sharp",08:00,sharp
"в 8 утра ровно",08:00,sharp russian
"Let's meet at fifteen thirty",15:30,textual english
"в пятнадцать тридцать",15:30,textual russian (edge)
"Call me at 11am IST",11:00,with tz IST
"звонок в 11 по IST",11:00,with tz russian
"午前9時に会いましょう",09:00,japanese morning (edge)
"午後5時に会いましょう",17:00,japanese evening
"下午9点见",21:00,chinese evening
"الساعة 10 صباحًا",10:00,arabic morning
"سأكون متاحاً الساعة 15:00",15:00,arabic HH:MM
"zwei Uhr nachmittags",14:00,german textual afternoon
"rendez-vous à midi",12:00,french noon
"nos vemos a las 16:00",16:00,spanish HH:MM
"te llamo a las 8",20:00,spanish evening textual
"voy a llamar a las 08:00",08:00,spanish morning
"I'll call at 12:00 CET (if not, at 14:00)",12:00;14:00,fallback (edge)
"встретимся в 9:30 (если нет, то в 11:00)",09:30;11:00,fallback russian
"Let's do 10:00-11:00 and 15:00-16:00",10:00;11:00;15:00;16:00,multiple ranges
"meeting at 07:00 and 19:00",07:00;19:00,multiple times
"звонок в 07:00 и в 19:00",07:00;19:00,multiple times russian
"call at quarter past six",18:15,phrase english
"в четверть после шести",18:15,phrase russian
"I'll be there at 05:00 AM GMT",05:00,AM + tz
"прибуду в 05:00 по Гринвичу",05:00,AM + tz russian
"I'll call at 9:00 your time (UTC+2)",09:00,parenthetical tz
"в 9:00 по вашему времени (UTC+2)",09:00,parenthetical tz russian
"I'll call at 12:00 (work) and 18:00 (home)",12:00;18:00,contextual
"звонок в 12:00 (работа) и 18:00 (дом)",12:00;18:00,contextual russian
"See you at 07:07",07:07,HH:MM unusual symmetry
"Timecode 01:00:00:00",,negative - timecode media
"Score 12:15",,negative - score-like (explicit)
"Партия 6:4",,negative - game score
"Section 4:2",,negative - document section
"Aspect 2:1",,negative - ratio
"Resolution 1280:720",,negative - resolution
"Track 03:15",,negative - track duration
"Log 2026-01-22 12:15:30",,negative - full log timestamp
"MAC 12:34:56:78:9A:BC",,negative - mac address
"IPv6 ::1",,negative - IPv6 loopback
"Order 12:15X",,negative - order id
"Bus leaves 07:42",07:42,transport
"Train departs 18:05",18:05,transport
"Flight at 14:20",14:20,transport
"Boarding 13:50",13:50,transport
"Gate closes 14:10",14:10,transport
"Ferry 09:30",09:30,transport
"Tram arrives 08:15",08:15,transport
"Metro last train 23:45",23:45,transport
"Shuttle 06:00",06:00,transport
"Taxi pickup 07:30",07:30,transport
"My bus is at 6:45am",06:45,transport casual
"Catching the 8:15 train",08:15,transport casual
"The 10:30 flight is delayed",10:30,transport casual
"Поезд в 16:20",16:20,transport russian
"Автобус отходит в 07:00",07:00,transport russian
"Рейс в 22:45",22:45,transport russian
