let's schedule for 5pm NZST,1,explicit_tz,Pacific/Auckland,NZST
в 14 по грузинскому времени,1,explicit_tz,Asia/Tbilisi,georgian tz
в 11 утра по московскому,1,explicit_tz,Europe/Moscow,morning local
call at 23:00 UTC+1,1,explicit_tz,Europe/Paris,offset +1
в 02:00 по Владивосток,1,explicit_tz,Asia/Vladivostok,alt city name
на 6 вечера по Москве,1,explicit_tz,Europe/Moscow,evening phrasing
meeting 8pm CET,1,explicit_tz,Europe/Paris,evening europe
в 19 по Иркутску,1,explicit_tz,Asia/Irkutsk,irkutsk
в 05:30 по Якутску,1,explicit_tz,Asia/Yakutsk,early morning
let's do 1pm EST tomorrow,1,explicit_tz,America/New_York,en tomorrow
join at 14:00 UTC,1,explicit_tz,Etc/UTC,explicit UTC
в 12 по местному завтра,1,explicit_tz,Europe/Moscow,local tomorrow
on 2026-02-01 09:00 PST,1,explicit_tz,America/Los_Angeles,date + tz
в 17:00 по Шанхаю,1,explicit_tz,Asia/Shanghai,shanghai city
на 10 по Сингапуру,1,explicit_tz,Asia/Singapore,singapore
в 8 по Сеулу,1,explicit_tz,Asia/Seoul,seoul city
в 14:00 по Минску завтра,1,explicit_tz,Europe/Minsk,minsk tomorrow
let's meet at 6:30 PM HST,1,explicit_tz,Pacific/Honolulu,Hawaii
в 12 по Тунису,1,explicit_tz,Africa/Tunis,tunis city
на 15:00 по берлинскому,1,explicit_tz,Europe/Berlin,berlin local
в 9 по парижскому времени,1,explicit_tz,Europe/Paris,paris local
in 2pm IST India,1,explicit_tz,Asia/Kolkata,india tz
let's meet 10am AEST,1,explicit_tz,Australia/Sydney,AEST
call 18:00 MSK today,1,explicit_tz,Europe/Moscow,msk + today
в 20 по ростовскому,1,explicit_tz,Europe/Moscow,rostov->moscow
в 03 по калининградскому,1,explicit_tz,Europe/Kaliningrad,kaliningrad
на 7 утра по местному времени завтра,1,explicit_tz,Europe/Moscow,local tomorrow morning
meeting 15-17 CET,1,explicit_tz,Europe/Paris,range europe
start 09:30 BST,1,explicit_tz,Europe/London,BST morning
в 11 по волгоградскому,1,explicit_tz,Europe/Moscow,volgograd
в 22 по московскому часу,1,explicit_tz,Europe/Moscow,phrase variation
call 04:00 GMT+2,1,explicit_tz,Europe/Kyiv,offset variant
в 13 по местному по пятницам,1,explicit_tz,Europe/Moscow,weekday context
в 6 утра по Тбилиси,1,explicit_tz,Asia/Tbilisi,tbilisi morning 2
let's meet at 14:00 CET on Monday,1,explicit_tz,Europe/Paris,date + tz
в 15 по Сочи,1,explicit_tz,Europe/Moscow,sochi->moscow
на 19:30 по греческому времени,1,explicit_tz,Europe/Athens,athens
в 8 по бухаресту,1,explicit_tz,Europe/Bucharest,bucharest
call at 7am MDT,1,explicit_tz,America/Denver,MDT
в 18 по екатеринбургу,1,explicit_tz,Asia/Yekaterinburg,ekaterinburg
meeting 2:00 AM CET,1,explicit_tz,Europe/Paris,early europe
в 12 по ирландскому времени,1,explicit_tz,Europe/Dublin,dublin
на 21 по Тбилиси завтра,1,explicit_tz,Asia/Tbilisi,tbilisi tomorrow

а это по какому времени?,1,clarification_question,,ru asking which tz
это по вашему времени?,1,clarification_question,,ru ask your tz
это местное время или UTC?,1,clarification_question,,local or utc
you mean PST or PDT?,1,clarification_question,,en abbr clarify
is that local time or server time?,1,clarification_question,,en local vs server
ты в какой временной зоне?,1,clarification_question,,ask user tz
what timezone should I assume?,1,clarification_question,,en general
это по москве или петербургу?,1,clarification_question,,city clar
do you mean London time?,1,clarification_question,,en city clar
по какому часовому поясу это?,1,clarification_question,,ru general
is that GMT or BST?,1,clarification_question,,gmt vs bst
ты имел ввиду MSK?,1,clarification_question,,msk clar
do you mean Eastern Time?,1,clarification_question,,eastern clar
это в твоём часовом поясе?,1,clarification_question,,your tz
как правило, это местное?,1,clarification_question,,is it local
should I convert to my timezone?,1,clarification_question,,convert ask
это по Киеву или по Москве?,1,clarification_question,,kyiv or moscow
are we talking UTC+3?,1,clarification_question,,utc offset clar
это по времени офиса?,1,clarification_question,,office tz
which tz is that in?,1,clarification_question,,which tz en
ты хочешь по местному или по UTC?,1,clarification_question,,local or utc ru
is that the user's timezone?,1,clarification_question,,user tz en
этот час по летнему или зимнему?,1,clarification_question,,dst clar ru
это по Нью-Йорку?,1,clarification_question,,nyc clar
you mean Pacific Time zone?,1,clarification_question,,pt clar
подразумевается ли GMT здесь?,1,clarification_question,,gmt implied
какая у тебя зона сейчас?,1,clarification_question,,what's your zone
по какому времени назначать?,1,clarification_question,,which time to set
is that local or UTC+0?,1,clarification_question,,local vs utc0
это время по местному у всех?,1,clarification_question,,local for all
should I assume server TZ?,1,clarification_question,,server tz
это указано в твоём профиле?,1,clarification_question,,profile tz
в каком часовом поясе ты находишься?,1,clarification_question,,where are you tz
do you mean CET or CEST?,1,clarification_question,,dst switch en
это по Казахстану или России?,1,clarification_question,,country clar
is that the recruiter time?,1,clarification_question,,context specific
ты говоришь про UTC+2?,1,clarification_question,,offset ask
should I show times in my TZ?,1,clarification_question,,display preference
это местное время собеседника?,1,clarification_question,,partner local
are we sure this is not local?,1,clarification_question,,double check
на какой зоне основываемся?,1,clarification_question,,which zone
is the time listed in UTC+1?,1,clarification_question,,offset check
do you want UTC timestamps?,1,clarification_question,,utc timestamps
это время по часовому поясу сервера?,1,clarification_question,,server tz

привет,0,none,,greeting
ок,0,none,,short ack
спасибо,0,none,,thanks
sounds good,0,none,,ack en
да,0,none,,yes
нет,0,none,,no
встречаемся завтра,0,none,,time without tz
see you,0,none,,bye
почему ты спрашиваешь,0,none,,why ask
я в Москве,0,none,,location only
i'm in Berlin,0,none,,location en
живу в Тбилиси,0,none,,location ru
based in London,0,none,,location en
у меня 3 кота,0,none,,quantity
room 301,0,none,,room number
версия 2.0,0,none,,version
вчера был 8,0,none,,past time mention
переезд в Дубай,0,none,,moving
буду в командировке,0,none,,travel
погода в Москве,0,none,,weather
готовлю презентацию,0,none,,work in progress
жду отчет,0,none,,waiting
счёт 4:2,0,none,,score
цена 20%,0,none,,percent
секрет 007,0,none,,code like
давай на следующей неделе,0,none,,vague time
в 12 по полудню,0,none,,phrase edge
3-4 человека,0,none,,quantity range
Москва или Питер?,0,none,,city question edge
часов в 5,0,none,,approx phrasing
17:30ish,0,none,,approx en
ещё два дня,0,none,,duration
сколько стоит 3?,0,none,,price question
дата 12 февраля,0,none,,date only
где сегодня обед?,0,none,,lunch query
сегодня выходной,0,none,,holiday
помни 3 правила,0,none,,remember rules
правило 5,0,none,,label
я в офисе,0,none,,status
готовлю отчет,0,none,,preparing report
есть вопросы?,0,none,,question general
подтверди получение,0,none,,confirm receipt
мы обсудим позже,0,none,,defer
call at 3,0,none,,time without tz numeric en
let's do it next week,0,none,,vague en
see attached,0,none,,attachment
invoice 12345,0,none,,invoice
balance is 500,0,none,,money
I'll be there in 10 minutes,0,none,,relative time
в 12 по обеду,0,none,,ambiguous
завтра в 10,0,none,,time no tz
we'll meet at 3pm,0,none,,en time no tz
пришлю позже,0,none,,send later
я в дороге,0,none,,traveling
вернусь через час,0,none,,return in hour
прислать повестку,0,none,,ask to send agenda
поменялось расписание,0,none,,schedule change
это срочно,0,none,,urgent
готово,0,none,,done
зарегистрируй меня,0,none,,register
куда звонить?,0,none,,where to call
кто ответственный?,0,none,,who is responsible
помоги пожалуйста,0,none,,help request
сколько времени потребуется?,0,none,,how long
бюджет 1000$,0,none,,money en
это не связано с временем,0,none,,unrelated
phrase,has_tz_context,trigger_type,source_tz,notes
в 1 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 1:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 2:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 3:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 4:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 5:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 6:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 7:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 8:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:00 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:00 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:00 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:00 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:00 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:15 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:15 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:15 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:15 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:15 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:30 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:30 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:30 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:30 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:30 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:45 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:45 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:45 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:45 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 9:45 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 10 Мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 10 мск,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 10 МСК,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 10 MSK,1,explicit_tz,Europe/Moscow,explicit RU abbr
в 10 Msk,1,explicit_tz,Europe/Moscow,explicit RU abbr
